id,school_name,state,school_type,grade_level,funding_per_student_usd,avg_test_score_percent,student_teacher_ratio,percent_low_income,percent_minority,internet_access_percent,dropout_rate_percent
1,Bowman High School,Michigan,Private,High,9575.8,47.1,17.5,30.0,44.0,74.1,3.59
2,Foster High School,Michigan,Charter,Middle,16733.1,40.0,24.2,93.5,40.1,79.9,9.26
3,Henson High School,New York,Public,Middle,24890.74,50.8,27.0,58.1,35.8,51.1,9.08
4,Weaver High School,Texas,Private,Elementary,6857.49,40.0,26.2,82.7,72.0,55.5,13.51
5,King Elementary School,Michigan,Public,Elementary,16910.73,40.1,20.2,41.4,16.1,57.8,6.89
6,Olson Elementary School,Pennsylvania,Private,Elementary,14930.51,40.0,26.8,64.5,12.6,70.1,9.17
7,Williams Middle School,Georgia,Public,Middle,15914.06,42.8,28.4,30.1,76.8,63.0,8.85
8,Boyd High School,Georgia,Private,High,24162.52,58.2,23.4,66.2,33.9,90.4,4.35
9,Fox Middle School,New York,Charter,High,6962.53,55.6,11.5,15.7,48.6,98.1,0.5
10,Garcia High School,New York,Charter,Middle,19092.17,40.0,14.9,89.3,94.3,54.9,11.97
11,Lucero Middle School,Georgia,Private,High,6285.37,40.0,12.7,77.7,40.7,73.1,5.78
12,Cline Middle School,Illinois,Charter,Middle,14346.55,59.8,23.7,26.2,25.4,97.5,2.34
13,Smith High School,California,Public,High,22343.11,64.3,13.9,61.8,13.7,88.3,1.14
14,Acosta Middle School,New York,Charter,Elementary,10266.69,53.9,10.1,74.3,51.2,96.1,1.0
15,Luna Elementary School,North Carolina,Private,Middle,10802.16,40.0,28.4,63.3,64.5,65.4,9.24
16,Mccann High School,Illinois,Private,High,13292.01,40.0,26.7,92.7,20.0,66.6,10.27
17,Allen High School,Michigan,Charter,Elementary,23644.5,57.1,26.7,40.4,72.3,77.4,5.63
18,Salinas High School,Texas,Public,Middle,18044.06,46.7,25.7,54.7,58.7,88.1,5.88
19,Morris High School,Pennsylvania,Private,Elementary,7851.38,40.0,21.9,82.1,53.5,63.5,10.26
20,Townsend Middle School,Pennsylvania,Public,Elementary,13440.79,47.6,16.8,75.1,19.2,85.9,6.15
21,Moss Elementary School,Michigan,Charter,Elementary,17500.61,57.3,18.8,37.7,80.3,95.1,2.55
22,Johnson Elementary School,Georgia,Public,Elementary,9020.39,43.0,14.0,37.6,36.4,72.4,4.37
23,Ward Middle School,Georgia,Private,Elementary,7094.65,40.0,25.4,53.6,42.5,65.4,9.17
24,Chan Middle School,Michigan,Private,Middle,8923.15,40.0,14.8,58.0,87.4,60.3,9.06
25,Foley Elementary School,Texas,Private,Middle,20187.31,41.8,27.7,63.8,14.3,57.9,7.43
