id,school_name,state,school_type,grade_level,funding_per_student_usd,avg_test_score_percent,student_teacher_ratio,percent_low_income,percent_minority,internet_access_percent,dropout_rate_percent,digital_divide_score,resource_pressure_score,socioeconomic_risk_score,academic_health_score,equity_score,risk_category
1,Bowman High School,Michigan,Private,High,9575.8,47.1,17.5,30.0,44.0,74.1,3.59,25.900000000000006,17.5,37.0,43.510000000000005,33.37339344343566,High Risk
2,Foster High School,Michigan,Charter,Middle,16733.1,40.0,24.2,93.5,40.1,79.9,9.26,20.099999999999994,24.2,66.8,30.740000000000002,24.437328671223206,High Risk
3,Henson High School,New York,Public,Middle,24890.74,50.8,27.0,58.1,35.8,51.1,9.08,48.9,27.0,46.95,41.72,38.328160081390905,High Risk
4,Weaver High School,Texas,Private,Elementary,6857.49,40.0,26.2,82.7,72.0,55.5,13.51,44.5,26.2,77.35,26.490000000000002,0.0,High Risk
5,King Elementary School,Michigan,Public,Elementary,16910.73,40.1,20.2,41.4,16.1,57.8,6.89,42.2,20.2,28.75,33.21,25.742216928174464,High Risk
6,Olson Elementary School,Pennsylvania,Private,Elementary,14930.51,40.0,26.8,64.5,12.6,70.1,9.17,29.900000000000006,26.8,38.55,30.83,21.395612926184015,High Risk
7,Williams Middle School,Georgia,Public,Middle,15914.06,42.8,28.4,30.1,76.8,63.0,8.85,37.0,28.4,53.45,33.949999999999996,20.654717596686915,High Risk
8,Boyd High School,Georgia,Private,High,24162.52,58.2,23.4,66.2,33.9,90.4,4.35,9.599999999999994,23.4,50.05,53.85,63.9625216065514,Medium Risk
9,Fox Middle School,New York,Charter,High,6962.53,55.6,11.5,15.7,48.6,98.1,0.5,1.9000000000000057,11.5,32.15,55.1,54.61298983749642,Medium Risk
10,Garcia High School,New York,Charter,Middle,19092.17,40.0,14.9,89.3,94.3,54.9,11.97,45.1,14.9,91.8,28.03,19.19494370087248,High Risk
11,Lucero Middle School,Georgia,Private,High,6285.37,40.0,12.7,77.7,40.7,73.1,5.78,26.900000000000006,12.7,59.2,34.22,19.23899660382623,High Risk
12,Cline Middle School,Illinois,Charter,Middle,14346.55,59.8,23.7,26.2,25.4,97.5,2.34,2.5,23.7,25.799999999999997,57.459999999999994,61.09924518264451,Medium Risk
13,Smith High School,California,Public,High,22343.11,64.3,13.9,61.8,13.7,88.3,1.14,11.700000000000003,13.9,37.75,63.16,77.23482893814456,Low Risk
14,Acosta Middle School,New York,Charter,Elementary,10266.69,53.9,10.1,74.3,51.2,96.1,1.0,3.9000000000000057,10.1,62.75,52.9,52.01392280225324,Medium Risk
15,Luna Elementary School,North Carolina,Private,Middle,10802.16,40.0,28.4,63.3,64.5,65.4,9.24,34.599999999999994,28.4,63.9,30.759999999999998,10.51396264953698,High Risk
16,Mccann High School,Illinois,Private,High,13292.01,40.0,26.7,92.7,20.0,66.6,10.27,33.400000000000006,26.7,56.35,29.73,15.381555938290852,High Risk
17,Allen High School,Michigan,Charter,Elementary,23644.5,57.1,26.7,40.4,72.3,77.4,5.63,22.599999999999994,26.7,56.349999999999994,51.47,54.14752861030774,Medium Risk
18,Salinas High School,Texas,Public,Middle,18044.06,46.7,25.7,54.7,58.7,88.1,5.88,11.900000000000006,25.7,56.7,40.82,39.05506400581167,High Risk
19,Morris High School,Pennsylvania,Private,Elementary,7851.38,40.0,21.9,82.1,53.5,63.5,10.26,36.5,21.9,67.8,29.740000000000002,9.197297811539677,High Risk
